,name,geometry,key,value,function,buffer10m,buffer20m,buffer50m,buffer30m
335,,POINT (-49.2644985 -25.4282276),highway,bus_stop,bus_stop,"POLYGON ((-49.2643985 -25.4281276, -49.2643985 -25.4283276, -49.26459850000001 -25.4283276, -49.26459850000001 -25.4281276, -49.2643985 -25.4281276))","POLYGON ((-49.2642985 -25.4280276, -49.2642985 -25.4284276, -49.2646985 -25.4284276, -49.2646985 -25.4280276, -49.2642985 -25.4280276))","POLYGON ((-49.2641985 -25.4279276, -49.2641985 -25.4285276, -49.2647985 -25.4285276, -49.2647985 -25.4279276, -49.2641985 -25.4279276))","POLYGON ((-49.2641985 -25.4279276, -49.2641985 -25.4285276, -49.2647985 -25.4285276, -49.2647985 -25.4279276, -49.2641985 -25.4279276))"
1402,,POINT (-49.2618004 -25.4281438),highway,traffic_signals,traffic_signals,"POLYGON ((-49.2617004 -25.4280438, -49.2617004 -25.4282438, -49.2619004 -25.4282438, -49.2619004 -25.4280438, -49.2617004 -25.4280438))","POLYGON ((-49.2616004 -25.4279438, -49.2616004 -25.4283438, -49.2620004 -25.4283438, -49.2620004 -25.4279438, -49.2616004 -25.4279438))","POLYGON ((-49.2615004 -25.4278438, -49.2615004 -25.4284438, -49.2621004 -25.4284438, -49.2621004 -25.4278438, -49.2615004 -25.4278438))","POLYGON ((-49.2615004 -25.4278438, -49.2615004 -25.4284438, -49.2621004 -25.4284438, -49.2621004 -25.4278438, -49.2615004 -25.4278438))"
49,,POINT (-49.2637113 -25.4280879),highway,traffic_signals,traffic_signals,"POLYGON ((-49.26361129999999 -25.4279879, -49.26361129999999 -25.4281879, -49.2638113 -25.4281879, -49.2638113 -25.4279879, -49.26361129999999 -25.4279879))","POLYGON ((-49.2635113 -25.4278879, -49.2635113 -25.4282879, -49.2639113 -25.4282879, -49.2639113 -25.4278879, -49.2635113 -25.4278879))","POLYGON ((-49.26341129999999 -25.4277879, -49.26341129999999 -25.4283879, -49.2640113 -25.4283879, -49.2640113 -25.4277879, -49.26341129999999 -25.4277879))","POLYGON ((-49.26341129999999 -25.4277879, -49.26341129999999 -25.4283879, -49.2640113 -25.4283879, -49.2640113 -25.4277879, -49.26341129999999 -25.4277879))"
117,,POINT (-49.2635991 -25.4280448),highway,traffic_signals,traffic_signals,"POLYGON ((-49.2634991 -25.4279448, -49.2634991 -25.4281448, -49.2636991 -25.4281448, -49.2636991 -25.4279448, -49.2634991 -25.4279448))","POLYGON ((-49.2633991 -25.4278448, -49.2633991 -25.4282448, -49.2637991 -25.4282448, -49.2637991 -25.4278448, -49.2633991 -25.4278448))","POLYGON ((-49.2632991 -25.4277448, -49.2632991 -25.4283448, -49.2638991 -25.4283448, -49.2638991 -25.4277448, -49.2632991 -25.4277448))","POLYGON ((-49.2632991 -25.4277448, -49.2632991 -25.4283448, -49.2638991 -25.4283448, -49.2638991 -25.4277448, -49.2632991 -25.4277448))"
576,,POINT (-49.2629312 -25.4277195),highway,bus_stop,bus_stop,"POLYGON ((-49.26283119999999 -25.4276195, -49.26283119999999 -25.4278195, -49.2630312 -25.4278195, -49.2630312 -25.4276195, -49.26283119999999 -25.4276195))","POLYGON ((-49.2627312 -25.4275195, -49.2627312 -25.4279195, -49.2631312 -25.4279195, -49.2631312 -25.4275195, -49.2627312 -25.4275195))","POLYGON ((-49.26263119999999 -25.4274195, -49.26263119999999 -25.4280195, -49.2632312 -25.4280195, -49.2632312 -25.4274195, -49.26263119999999 -25.4274195))","POLYGON ((-49.26263119999999 -25.4274195, -49.26263119999999 -25.4280195, -49.2632312 -25.4280195, -49.2632312 -25.4274195, -49.26263119999999 -25.4274195))"
120,,POINT (-49.2647336 -25.4275935),highway,traffic_signals,traffic_signals,"POLYGON ((-49.2646336 -25.4274935, -49.2646336 -25.4276935, -49.2648336 -25.4276935, -49.2648336 -25.4274935, -49.2646336 -25.4274935))","POLYGON ((-49.2645336 -25.4273935, -49.2645336 -25.4277935, -49.2649336 -25.4277935, -49.2649336 -25.4273935, -49.2645336 -25.4273935))","POLYGON ((-49.2644336 -25.4272935, -49.2644336 -25.4278935, -49.2650336 -25.4278935, -49.2650336 -25.4272935, -49.2644336 -25.4272935))","POLYGON ((-49.2644336 -25.4272935, -49.2644336 -25.4278935, -49.2650336 -25.4278935, -49.2650336 -25.4272935, -49.2644336 -25.4272935))"
108,,POINT (-49.2621419 -25.4274846),highway,traffic_signals,traffic_signals,"POLYGON ((-49.2620419 -25.4273846, -49.2620419 -25.4275846, -49.26224190000001 -25.4275846, -49.26224190000001 -25.4273846, -49.2620419 -25.4273846))","POLYGON ((-49.2619419 -25.4272846, -49.2619419 -25.4276846, -49.2623419 -25.4276846, -49.2623419 -25.4272846, -49.2619419 -25.4272846))","POLYGON ((-49.2618419 -25.4271846, -49.2618419 -25.4277846, -49.26244190000001 -25.4277846, -49.26244190000001 -25.4271846, -49.2618419 -25.4271846))","POLYGON ((-49.2618419 -25.4271846, -49.2618419 -25.4277846, -49.26244190000001 -25.4277846, -49.26244190000001 -25.4271846, -49.2618419 -25.4271846))"
624,Estação Tubo Círculo Militar (700),"POLYGON ((-49.2647606 -25.4273242, -49.2647816 -25.4273324, -49.2647406 -25.4274188, -49.2647195 -25.4274106, -49.2647606 -25.4273242))",amenity,bus_station,bus_station,"POLYGON ((-49.26467029656806 -25.42728124315911, -49.26462919656806 -25.42736764315911, -49.26462547049452 -25.42737656395882, -49.26462262326109 -25.42738580287399, -49.26462068147924 -25.42739527355373, -49.26461966329769 -25.42740488748102, -49.26461957823281 -25.42741455479996, -49.26462042707965 -25.42742418515565, -49.26462220190452 -25.42743368853864, -49.26462488611914 -25.42744297612624, -49.26462845463571 -25.42745196111267, -49.26463287410132 -25.42746055952039, -49.26463810320975 -25.42746869098499, -49.26464409308751 -25.42747627950632, -49.26465078775065 -25.42748325415879, -49.26465812462795 -25.42748954975431, -49.26466603514582 -25.42749510745155, -49.26467444536916 -25.42749987530588, -49.26468327669242 -25.42750380875489, -49.26470437669242 -25.42751200875489, -49.26471385265355 -25.42751515652266, -49.26472359529183 -25.42751734359391, -49.26473350747093 -25.42751854816305, -49.26474349036415 -25.42751875822025, -49.2647534444398 -25.42751797167119, -49.26476327045344 -25.42751619635795, -49.26477287043749 -25.4275134499808, -49.26478214867792 -25.42750975992174, -49.26479101266855 -25.42750516297152, -49.26479937403337 -25.42749970496277, -49.26480714940768 -25.42749344031309, -49.26481426126921 -25.42748643148245, -49.26482063871108 -25.42747874835051, -49.26482621814874 -25.42747046751984, -49.26483094395393 -25.42746167155221, -49.26487194395393 -25.42737527155221, -49.26487565650709 -25.42736636135264, -49.26487849269151 -25.42735713471917, -49.26488042608111 -25.42734767762067, -49.26488143866158 -25.42733807817338, -49.26488152099825 -25.42732842581989, -49.26488067232395 -25.4273188104957, -49.26487890054617 -25.42730932179132, -49.26487622217339 -25.42730004811748, -49.26487266216128 -25.42729107588135, -49.26486825368016 -25.42728248868149, -49.2648630378059 -25.42727436652887, -49.26485706313726 -25.42726678510143, -49.26485038534306 -25.42725981503889, -49.26484306664344 -25.42725352128459, -49.26483517523016 -25.42724796248042, -49.26482678463125 -25.42724319042036, -49.26481797302585 -25.42723924956795, -49.26479697302585 -25.42723104956795, -49.26478749788073 -25.42722788539045, -49.26477775432059 -25.42722568234024, -49.26476783957681 -25.42722446240164, -49.26475785258901 -25.42722423774846, -49.26474789301773 -25.42722501062254, -49.26473806024993 -25.42722677331132, -49.26472845240719 -25.42722950822488, -49.26471916536654 -25.42723318807139, -49.26471029180373 -25.42723777612953, -49.2647019202684 -25.42724322661487, -49.26469413430042 -25.42724948513683, -49.26468701159628 -25.42725648924134, -49.26468062323372 -25.4272641690342, -49.26467503296247 -25.42727244787842, -49.26467029656806 -25.42728124315911))","POLYGON ((-49.26457999313612 -25.42723828631821, -49.26453889313611 -25.42732468631822, -49.26453144098904 -25.42734252791765, -49.26452574652218 -25.42736100574797, -49.26452186295848 -25.42737994710746, -49.26451982659539 -25.42739917496204, -49.26451965646563 -25.42741850959992, -49.26452135415931 -25.4274377703113, -49.26452490380904 -25.42745677707728, -49.2645302722383 -25.42747535225248, -49.26453740927141 -25.42749332222533, -49.26454624820263 -25.42751051904077, -49.2645567064195 -25.42752678196998, -49.26456868617503 -25.42754195901263, -49.26458207550129 -25.42755590831758, -49.2645967492559 -25.42756849950863, -49.26461257029164 -25.42757961490311, -49.26462939073833 -25.42758915061177, -49.26464705338484 -25.42759701750978, -49.26466815338485 -25.42760521750978, -49.26468710530711 -25.42761151304531, -49.26470659058366 -25.42761588718782, -49.26472641494185 -25.4276182963261, -49.26474638072831 -25.4276187164405, -49.26476628887959 -25.42761714334238, -49.26478594090688 -25.42761359271589, -49.26480514087498 -25.42760809996159, -49.26482369735584 -25.42760071984349, -49.2648414253371 -25.42759152594304, -49.26485814806675 -25.42758060992554, -49.26487369881536 -25.42756808062617, -49.26488792253842 -25.42755406296491, -49.26490067742216 -25.42753869670102, -49.26491183629749 -25.42752213503968, -49.26492128790786 -25.42750454310442, -49.26496228790786 -25.42741814310441, -49.26496971301419 -25.42740032270528, -49.26497538538302 -25.42738186943833, -49.26497925216221 -25.42736295524134, -49.26498127732317 -25.42734375634677, -49.26498144199651 -25.42732445163978, -49.2649797446479 -25.42730522099141, -49.26497620109233 -25.42728624358265, -49.26497084434678 -25.42726769623495, -49.26496372432257 -25.4272497517627, -49.26495490736031 -25.42723257736298, -49.26494447561179 -25.42721633305775, -49.26493252627453 -25.42720117020287, -49.26491917068613 -25.42718723007777, -49.26490453328687 -25.42717464256918, -49.26488875046032 -25.42716352496084, -49.26487196926249 -25.42715398084072, -49.26485434605171 -25.42714609913591, -49.26483334605171 -25.42713789913591, -49.26481439576146 -25.4271315707809, -49.26479490864119 -25.42712716468048, -49.26477507915363 -25.42712472480327, -49.26475510517803 -25.42712427549692, -49.26473518603547 -25.42712582124507, -49.26471552049987 -25.42712934662264, -49.26469630481438 -25.42713481644975, -49.26467773073308 -25.42714217614277, -49.26465998360747 -25.42715135225905, -49.26464324053679 -25.42716225322975, -49.26462766860084 -25.42717477027365, -49.26461342319256 -25.42718877848269, -49.26460064646744 -25.42720413806839, -49.26458946592494 -25.42722069575684, -49.26457999313612 -25.42723828631821))","POLYGON ((-49.26448968970418 -25.42719532947732, -49.26444858970417 -25.42728172947732, -49.26443741148356 -25.42730849187647, -49.26442886978327 -25.42733620862196, -49.26442304443773 -25.42736462066119, -49.26441998989309 -25.42739346244306, -49.26441973469844 -25.42742246439989, -49.26442228123896 -25.42745135546694, -49.26442760571356 -25.42747986561591, -49.26443565835744 -25.42750772837871, -49.26444636390712 -25.427534683338, -49.26445962230395 -25.42756047856116, -49.26447530962925 -25.42758487295496, -49.26449327926255 -25.42760763851894, -49.26451336325194 -25.42762856247636, -49.26453537388385 -25.42764744926293, -49.26455910543746 -25.42766412235465, -49.26458433610749 -25.42767842591764, -49.26461083007726 -25.42769022626467, -49.26463193007726 -25.42769842626467, -49.26466035796066 -25.42770786956796, -49.26468958587549 -25.42771443078172, -49.26471932241277 -25.42771804448914, -49.26474927109246 -25.42771867466075, -49.26477913331938 -25.42771631501357, -49.26480861136032 -25.42771098907384, -49.26483741131247 -25.42770274994238, -49.26486524603376 -25.42769167976523, -49.26489183800565 -25.42767788891456, -49.26491692210013 -25.42766151488831, -49.26494024822304 -25.42764272093926, -49.26496158380763 -25.42762169444736, -49.26498071613324 -25.42759864505154, -49.26499745444622 -25.42757380255952, -49.26501163186179 -25.42754741465662, -49.26505263186178 -25.42746101465662, -49.26506376952128 -25.42743428405792, -49.26507227807453 -25.4274066041575, -49.26507807824332 -25.427378232862, -49.26508111598476 -25.42734943452016, -49.26508136299476 -25.42732047745967, -49.26507881697185 -25.42729163148711, -49.2650735016385 -25.42726316537397, -49.26506546652017 -25.42723534435243, -49.26505478648385 -25.42720842764405, -49.26504156104046 -25.42718266604446, -49.26502591341769 -25.42715829958663, -49.2650079894118 -25.4271355553043, -49.26498795602919 -25.42711464511666, -49.26496599993031 -25.42709576385377, -49.26494232569048 -25.42707908744125, -49.26491715389374 -25.42706477126109, -49.26489071907756 -25.42705294870386, -49.26486971907756 -25.42704474870386, -49.26484129364218 -25.42703525617136, -49.26481206296178 -25.42702864702072, -49.26478231873045 -25.42702498720491, -49.26475235776704 -25.42702431324538, -49.26472247905321 -25.42702663186761, -49.26469298074981 -25.42703191993396, -49.26466415722157 -25.42704012467463, -49.26463629609962 -25.42705116421416, -49.26460967541119 -25.42706492838857, -49.26458456080519 -25.42708127984462, -49.26456120290126 -25.42710005541048, -49.26453983478883 -25.42712106772403, -49.26452066970116 -25.42714410710258, -49.2645038988874 -25.42716894363526, -49.26448968970418 -25.42719532947732))","POLYGON ((-49.26448968970418 -25.42719532947732, -49.26444858970417 -25.42728172947732, -49.26443741148356 -25.42730849187647, -49.26442886978327 -25.42733620862196, -49.26442304443773 -25.42736462066119, -49.26441998989309 -25.42739346244306, -49.26441973469844 -25.42742246439989, -49.26442228123896 -25.42745135546694, -49.26442760571356 -25.42747986561591, -49.26443565835744 -25.42750772837871, -49.26444636390712 -25.427534683338, -49.26445962230395 -25.42756047856116, -49.26447530962925 -25.42758487295496, -49.26449327926255 -25.42760763851894, -49.26451336325194 -25.42762856247636, -49.26453537388385 -25.42764744926293, -49.26455910543746 -25.42766412235465, -49.26458433610749 -25.42767842591764, -49.26461083007726 -25.42769022626467, -49.26463193007726 -25.42769842626467, -49.26466035796066 -25.42770786956796, -49.26468958587549 -25.42771443078172, -49.26471932241277 -25.42771804448914, -49.26474927109246 -25.42771867466075, -49.26477913331938 -25.42771631501357, -49.26480861136032 -25.42771098907384, -49.26483741131247 -25.42770274994238, -49.26486524603376 -25.42769167976523, -49.26489183800565 -25.42767788891456, -49.26491692210013 -25.42766151488831, -49.26494024822304 -25.42764272093926, -49.26496158380763 -25.42762169444736, -49.26498071613324 -25.42759864505154, -49.26499745444622 -25.42757380255952, -49.26501163186179 -25.42754741465662, -49.26505263186178 -25.42746101465662, -49.26506376952128 -25.42743428405792, -49.26507227807453 -25.4274066041575, -49.26507807824332 -25.427378232862, -49.26508111598476 -25.42734943452016, -49.26508136299476 -25.42732047745967, -49.26507881697185 -25.42729163148711, -49.2650735016385 -25.42726316537397, -49.26506546652017 -25.42723534435243, -49.26505478648385 -25.42720842764405, -49.26504156104046 -25.42718266604446, -49.26502591341769 -25.42715829958663, -49.2650079894118 -25.4271355553043, -49.26498795602919 -25.42711464511666, -49.26496599993031 -25.42709576385377, -49.26494232569048 -25.42707908744125, -49.26491715389374 -25.42706477126109, -49.26489071907756 -25.42705294870386, -49.26486971907756 -25.42704474870386, -49.26484129364218 -25.42703525617136, -49.26481206296178 -25.42702864702072, -49.26478231873045 -25.42702498720491, -49.26475235776704 -25.42702431324538, -49.26472247905321 -25.42702663186761, -49.26469298074981 -25.42703191993396, -49.26466415722157 -25.42704012467463, -49.26463629609962 -25.42705116421416, -49.26460967541119 -25.42706492838857, -49.26458456080519 -25.42708127984462, -49.26456120290126 -25.42710005541048, -49.26453983478883 -25.42712106772403, -49.26452066970116 -25.42714410710258, -49.2645038988874 -25.42716894363526, -49.26448968970418 -25.42719532947732))"
121,,POINT (-49.264048 -25.4272933),highway,traffic_signals,traffic_signals,"POLYGON ((-49.263948 -25.4271933, -49.263948 -25.4273933, -49.26414800000001 -25.4273933, -49.26414800000001 -25.4271933, -49.263948 -25.4271933))","POLYGON ((-49.263848 -25.4270933, -49.263848 -25.4274933, -49.264248 -25.4274933, -49.264248 -25.4270933, -49.263848 -25.4270933))","POLYGON ((-49.263748 -25.4269933, -49.263748 -25.4275933, -49.26434800000001 -25.4275933, -49.26434800000001 -25.4269933, -49.263748 -25.4269933))","POLYGON ((-49.263748 -25.4269933, -49.263748 -25.4275933, -49.26434800000001 -25.4275933, -49.26434800000001 -25.4269933, -49.263748 -25.4269933))"
119,,POINT (-49.2639588 -25.4272542),highway,traffic_signals,traffic_signals,"POLYGON ((-49.26385879999999 -25.4271542, -49.26385879999999 -25.4273542, -49.2640588 -25.4273542, -49.2640588 -25.4271542, -49.26385879999999 -25.4271542))","POLYGON ((-49.2637588 -25.4270542, -49.2637588 -25.4274542, -49.2641588 -25.4274542, -49.2641588 -25.4270542, -49.2637588 -25.4270542))","POLYGON ((-49.26365879999999 -25.4269542, -49.26365879999999 -25.4275542, -49.2642588 -25.4275542, -49.2642588 -25.4269542, -49.26365879999999 -25.4269542))","POLYGON ((-49.26365879999999 -25.4269542, -49.26365879999999 -25.4275542, -49.2642588 -25.4275542, -49.2642588 -25.4269542, -49.26365879999999 -25.4269542))"
